property,tail,class_label,global_row_index,property_value,used_for_svm_fit
FractionCSP3,high,1,8157,1.0,True
FractionCSP3,high,1,471,1.0,True
FractionCSP3,high,1,7735,1.0,True
FractionCSP3,high,1,3055,1.0,True
FractionCSP3,high,1,534,1.0,True
FractionCSP3,high,1,13050,1.0,True
FractionCSP3,high,1,7500,1.0,True
FractionCSP3,high,1,6242,1.0,True
FractionCSP3,high,1,9028,1.0,True
FractionCSP3,high,1,4924,1.0,True
FractionCSP3,high,1,5946,1.0,True
FractionCSP3,high,1,4787,1.0,True
FractionCSP3,high,1,2781,1.0,True
FractionCSP3,high,1,14119,1.0,True
FractionCSP3,high,1,1654,1.0,True
FractionCSP3,high,1,9270,1.0,True
FractionCSP3,high,1,10206,1.0,True
FractionCSP3,high,1,296,1.0,True
FractionCSP3,high,1,18197,1.0,True
FractionCSP3,high,1,7829,1.0,True
FractionCSP3,high,1,5593,1.0,True
FractionCSP3,high,1,9774,1.0,True
FractionCSP3,high,1,7329,1.0,True
FractionCSP3,high,1,3653,1.0,True
FractionCSP3,high,1,11816,1.0,True
FractionCSP3,high,1,15470,1.0,True
FractionCSP3,high,1,16912,1.0,True
FractionCSP3,high,1,1708,1.0,True
FractionCSP3,high,1,14623,1.0,True
FractionCSP3,high,1,11229,1.0,True
FractionCSP3,high,1,560,1.0,True
FractionCSP3,high,1,7572,1.0,True
FractionCSP3,high,1,10886,1.0,True
FractionCSP3,high,1,4502,1.0,True
FractionCSP3,high,1,16374,1.0,True
FractionCSP3,high,1,12634,1.0,True
FractionCSP3,high,1,10577,1.0,True
FractionCSP3,high,1,11218,1.0,True
FractionCSP3,high,1,17430,1.0,True
FractionCSP3,high,1,13336,1.0,True
FractionCSP3,high,1,12196,1.0,True
FractionCSP3,high,1,9195,1.0,True
FractionCSP3,high,1,16028,1.0,True
FractionCSP3,high,1,17973,1.0,True
FractionCSP3,high,1,7550,1.0,True
FractionCSP3,high,1,4176,1.0,True
FractionCSP3,high,1,7942,1.0,True
FractionCSP3,high,1,11593,1.0,True
FractionCSP3,high,1,1963,1.0,True
FractionCSP3,high,1,17618,1.0,True
FractionCSP3,high,1,6917,1.0,True
FractionCSP3,high,1,14153,1.0,True
FractionCSP3,high,1,10400,1.0,True
FractionCSP3,high,1,16547,1.0,True
FractionCSP3,high,1,6553,1.0,True
FractionCSP3,high,1,18135,1.0,True
FractionCSP3,high,1,9232,1.0,True
FractionCSP3,high,1,7944,1.0,True
FractionCSP3,high,1,8690,1.0,True
FractionCSP3,high,1,6635,1.0,True
FractionCSP3,high,1,10231,1.0,True
FractionCSP3,high,1,2168,1.0,True
FractionCSP3,high,1,13729,1.0,True
FractionCSP3,high,1,8143,1.0,True
FractionCSP3,high,1,8334,1.0,True
FractionCSP3,high,1,7769,1.0,True
FractionCSP3,high,1,15471,1.0,True
FractionCSP3,high,1,5376,1.0,True
FractionCSP3,high,1,5830,1.0,True
FractionCSP3,high,1,16484,1.0,True
FractionCSP3,high,1,8624,1.0,True
FractionCSP3,high,1,6516,1.0,True
FractionCSP3,high,1,14802,1.0,True
FractionCSP3,high,1,13660,1.0,True
FractionCSP3,high,1,10887,1.0,True
FractionCSP3,high,1,16883,1.0,True
FractionCSP3,high,1,10001,1.0,True
FractionCSP3,high,1,6639,1.0,True
FractionCSP3,high,1,15698,1.0,True
FractionCSP3,high,1,1557,1.0,True
FractionCSP3,high,1,9986,1.0,True
FractionCSP3,high,1,13219,1.0,True
FractionCSP3,high,1,5723,1.0,True
FractionCSP3,high,1,312,1.0,False
FractionCSP3,high,1,3906,1.0,False
FractionCSP3,high,1,10495,1.0,False
FractionCSP3,high,1,1928,1.0,False
FractionCSP3,high,1,16751,1.0,False
FractionCSP3,high,1,4857,1.0,False
FractionCSP3,high,1,6784,1.0,False
FractionCSP3,high,1,14753,1.0,False
FractionCSP3,high,1,3815,1.0,False
FractionCSP3,high,1,6269,1.0,False
FractionCSP3,high,1,15801,1.0,False
FractionCSP3,high,1,11637,1.0,False
FractionCSP3,high,1,14103,1.0,False
FractionCSP3,high,1,9051,1.0,False
FractionCSP3,high,1,14604,1.0,False
FractionCSP3,high,1,1585,1.0,False
FractionCSP3,high,1,12916,1.0,False
FractionCSP3,high,1,4111,1.0,False
FractionCSP3,high,1,16250,1.0,False
FractionCSP3,high,1,5478,1.0,False
FractionCSP3,high,1,4961,1.0,False
FractionCSP3,high,1,14864,1.0,False
FractionCSP3,high,1,2286,1.0,False
FractionCSP3,high,1,15889,1.0,False
FractionCSP3,high,1,1844,1.0,False
FractionCSP3,high,1,5398,1.0,False
FractionCSP3,high,1,9203,1.0,False
FractionCSP3,high,1,12739,1.0,False
FractionCSP3,high,1,2930,1.0,False
FractionCSP3,high,1,1915,1.0,False
FractionCSP3,high,1,4167,1.0,False
FractionCSP3,high,1,16842,1.0,False
FractionCSP3,high,1,3163,1.0,False
FractionCSP3,high,1,2890,1.0,False
FractionCSP3,high,1,5326,1.0,False
FractionCSP3,high,1,3241,1.0,False
FractionCSP3,high,1,6845,1.0,False
FractionCSP3,high,1,4554,1.0,False
FractionCSP3,high,1,1196,1.0,False
FractionCSP3,high,1,8982,1.0,False
FractionCSP3,high,1,16404,1.0,False
FractionCSP3,high,1,12810,1.0,False
FractionCSP3,high,1,16802,1.0,False
FractionCSP3,high,1,3860,1.0,False
FractionCSP3,high,1,9205,1.0,False
FractionCSP3,high,1,2201,1.0,False
FractionCSP3,high,1,2049,1.0,False
FractionCSP3,high,1,14895,1.0,False
FractionCSP3,high,1,5829,1.0,False
FractionCSP3,high,1,4364,1.0,False
FractionCSP3,high,1,9565,1.0,False
FractionCSP3,high,1,12890,1.0,False
FractionCSP3,high,1,16730,1.0,False
FractionCSP3,high,1,1812,1.0,False
FractionCSP3,high,1,12898,1.0,False
FractionCSP3,high,1,17931,1.0,False
FractionCSP3,high,1,3477,1.0,False
FractionCSP3,high,1,8452,1.0,False
FractionCSP3,high,1,17917,1.0,False
FractionCSP3,high,1,12723,1.0,False
FractionCSP3,low,0,1675,0.0,True
FractionCSP3,low,0,187,0.0,True
FractionCSP3,low,0,3041,0.0,True
FractionCSP3,low,0,10427,0.0,True
FractionCSP3,low,0,1892,0.0,True
FractionCSP3,low,0,6804,0.0,True
FractionCSP3,low,0,6349,0.0,True
FractionCSP3,low,0,3929,0.0,True
FractionCSP3,low,0,7703,0.0,True
FractionCSP3,low,0,4838,0.0,True
FractionCSP3,low,0,9900,0.0,True
FractionCSP3,low,0,7178,0.0,True
FractionCSP3,low,0,3720,0.0,True
FractionCSP3,low,0,7972,0.0,True
FractionCSP3,low,0,1391,0.0,True
FractionCSP3,low,0,3022,0.0,True
FractionCSP3,low,0,7136,0.0,True
FractionCSP3,low,0,3009,0.0,True
FractionCSP3,low,0,8285,0.0,True
FractionCSP3,low,0,7782,0.0,True
FractionCSP3,low,0,6885,0.0,True
FractionCSP3,low,0,9996,0.0,True
FractionCSP3,low,0,92,0.0,True
FractionCSP3,low,0,5206,0.0,True
FractionCSP3,low,0,3063,0.0,True
FractionCSP3,low,0,10595,0.0,True
FractionCSP3,low,0,8276,0.0,True
FractionCSP3,low,0,6332,0.0,True
FractionCSP3,low,0,8402,0.0,True
FractionCSP3,low,0,3179,0.0,True
FractionCSP3,low,0,11053,0.0,True
FractionCSP3,low,0,3586,0.0,True
FractionCSP3,low,0,8793,0.0,True
FractionCSP3,low,0,7057,0.0,True
FractionCSP3,low,0,7003,0.0,True
FractionCSP3,low,0,8948,0.0,True
FractionCSP3,low,0,8280,0.0,True
FractionCSP3,low,0,559,0.0,True
FractionCSP3,low,0,9154,0.0,True
FractionCSP3,low,0,7927,0.0,True
FractionCSP3,low,0,363,0.0,True
FractionCSP3,low,0,26,0.0,True
FractionCSP3,low,0,259,0.0,True
FractionCSP3,low,0,3498,0.0,True
FractionCSP3,low,0,3934,0.0,True
FractionCSP3,low,0,7300,0.0,True
FractionCSP3,low,0,7792,0.0,True
FractionCSP3,low,0,6969,0.0,True
FractionCSP3,low,0,7753,0.0,True
FractionCSP3,low,0,6109,0.0,True
FractionCSP3,low,0,7625,0.0,True
FractionCSP3,low,0,4736,0.0,True
FractionCSP3,low,0,3759,0.0,True
FractionCSP3,low,0,7469,0.0,True
FractionCSP3,low,0,2555,0.0,True
FractionCSP3,low,0,11028,0.0,True
FractionCSP3,low,0,3620,0.0,True
FractionCSP3,low,0,8141,0.0,True
FractionCSP3,low,0,8529,0.0,True
FractionCSP3,low,0,9325,0.0,True
FractionCSP3,low,0,5137,0.0,True
FractionCSP3,low,0,8994,0.0,True
FractionCSP3,low,0,9759,0.0,True
FractionCSP3,low,0,4850,0.0,True
FractionCSP3,low,0,6571,0.0,True
FractionCSP3,low,0,4348,0.0,True
FractionCSP3,low,0,9162,0.0,True
FractionCSP3,low,0,9634,0.0,True
FractionCSP3,low,0,9592,0.0,True
FractionCSP3,low,0,8415,0.0,True
FractionCSP3,low,0,1039,0.0,True
FractionCSP3,low,0,3727,0.0,True
FractionCSP3,low,0,1571,0.0,True
FractionCSP3,low,0,7690,0.0,True
FractionCSP3,low,0,660,0.0,True
FractionCSP3,low,0,903,0.0,True
FractionCSP3,low,0,4055,0.0,True
FractionCSP3,low,0,9297,0.0,True
FractionCSP3,low,0,5860,0.0,True
FractionCSP3,low,0,3613,0.0,True
FractionCSP3,low,0,6761,0.0,True
FractionCSP3,low,0,4725,0.0,True
FractionCSP3,low,0,5403,0.0,True
FractionCSP3,low,0,1380,0.0,True
FractionCSP3,low,0,2235,0.0,True
FractionCSP3,low,0,6085,0.0,True
FractionCSP3,low,0,5792,0.0,True
FractionCSP3,low,0,5588,0.0,True
FractionCSP3,low,0,8116,0.0,True
FractionCSP3,low,0,11567,0.0,True
FractionCSP3,low,0,4069,0.0,True
FractionCSP3,low,0,4570,0.0,True
FractionCSP3,low,0,8959,0.0,True
FractionCSP3,low,0,156,0.0,True
FractionCSP3,low,0,3270,0.0,True
FractionCSP3,low,0,951,0.0,True
FractionCSP3,low,0,3940,0.0,True
FractionCSP3,low,0,8150,0.0,True
FractionCSP3,low,0,6810,0.0,True
FractionCSP3,low,0,6657,0.0,True
FractionCSP3,low,0,7177,0.0,True
FractionCSP3,low,0,10960,0.0,True
FractionCSP3,low,0,6289,0.0,True
FractionCSP3,low,0,5280,0.0,True
FractionCSP3,low,0,2215,0.0,True
FractionCSP3,low,0,3037,0.0,True
FractionCSP3,low,0,8174,0.0,True
FractionCSP3,low,0,4568,0.0,True
FractionCSP3,low,0,6522,0.0,True
FractionCSP3,low,0,1277,0.0,True
FractionCSP3,low,0,5028,0.0,True
FractionCSP3,low,0,1435,0.0,True
FractionCSP3,low,0,1841,0.0,True
FractionCSP3,low,0,9909,0.0,True
FractionCSP3,low,0,635,0.0,True
FractionCSP3,low,0,2349,0.0,True
FractionCSP3,low,0,10751,0.0,True
FractionCSP3,low,0,623,0.0,True
FractionCSP3,low,0,11479,0.0,True
FractionCSP3,low,0,4607,0.0,True
FractionCSP3,low,0,2936,0.0,True
FractionCSP3,low,0,4883,0.0,True
FractionCSP3,low,0,6010,0.0,True
FractionCSP3,low,0,11326,0.0,True
FractionCSP3,low,0,7987,0.0,True
FractionCSP3,low,0,949,0.0,True
FractionCSP3,low,0,2621,0.0,True
FractionCSP3,low,0,11562,0.0,True
FractionCSP3,low,0,2484,0.0,True
FractionCSP3,low,0,1464,0.0,True
FractionCSP3,low,0,1912,0.0,True
FractionCSP3,low,0,5374,0.0,True
FractionCSP3,low,0,5880,0.0,True
FractionCSP3,low,0,7000,0.0,True
FractionCSP3,low,0,762,0.0,True
FractionCSP3,low,0,8523,0.0,True
FractionCSP3,low,0,3983,0.0,True
FractionCSP3,low,0,6362,0.0,True
FractionCSP3,low,0,5138,0.0,True
FractionCSP3,low,0,11092,0.0,True
FractionCSP3,low,0,10309,0.0,False
FractionCSP3,low,0,1926,0.0,False
FractionCSP3,low,0,11327,0.0,False
FractionCSP3,low,0,8453,0.0,False
FractionCSP3,low,0,6713,0.0,False
FractionCSP3,low,0,9379,0.0,False
FractionCSP3,low,0,1660,0.0,False
FractionCSP3,low,0,11040,0.0,False
FractionCSP3,low,0,3040,0.0,False
FractionCSP3,low,0,6089,0.0,False
FractionCSP3,low,0,9291,0.0,False
FractionCSP3,low,0,2592,0.0,False
FractionCSP3,low,0,5334,0.0,False
FractionCSP3,low,0,9491,0.0,False
FractionCSP3,low,0,2588,0.0,False
FractionCSP3,low,0,6001,0.0,False
FractionCSP3,low,0,8610,0.0,False
FractionCSP3,low,0,2247,0.0,False
FractionCSP3,low,0,10390,0.0,False
FractionCSP3,low,0,6238,0.0,False
FractionCSP3,low,0,4687,0.0,False
FractionCSP3,low,0,7066,0.0,False
FractionCSP3,low,0,9987,0.0,False
FractionCSP3,low,0,7870,0.0,False
FractionCSP3,low,0,9911,0.0,False
FractionCSP3,low,0,9813,0.0,False
FractionCSP3,low,0,8230,0.0,False
FractionCSP3,low,0,7894,0.0,False
FractionCSP3,low,0,6433,0.0,False
FractionCSP3,low,0,8390,0.0,False
FractionCSP3,low,0,7292,0.0,False
FractionCSP3,low,0,10825,0.0,False
FractionCSP3,low,0,4158,0.0,False
FractionCSP3,low,0,2479,0.0,False
FractionCSP3,low,0,9650,0.0,False
FractionCSP3,low,0,3500,0.0,False
FractionCSP3,low,0,11502,0.0,False
FractionCSP3,low,0,3879,0.0,False
FractionCSP3,low,0,5491,0.0,False
FractionCSP3,low,0,9512,0.0,False
FractionCSP3,low,0,810,0.0,False
FractionCSP3,low,0,3945,0.0,False
FractionCSP3,low,0,11268,0.0,False
FractionCSP3,low,0,2787,0.0,False
FractionCSP3,low,0,1559,0.0,False
FractionCSP3,low,0,8838,0.0,False
FractionCSP3,low,0,7881,0.0,False
FractionCSP3,low,0,2083,0.0,False
FractionCSP3,low,0,5589,0.0,False
FractionCSP3,low,0,4832,0.0,False
FractionCSP3,low,0,5505,0.0,False
FractionCSP3,low,0,9875,0.0,False
FractionCSP3,low,0,5158,0.0,False
FractionCSP3,low,0,5567,0.0,False
FractionCSP3,low,0,10778,0.0,False
FractionCSP3,low,0,464,0.0,False
FractionCSP3,low,0,8597,0.0,False
FractionCSP3,low,0,69,0.0,False
FractionCSP3,low,0,2156,0.0,False
FractionCSP3,low,0,3751,0.0,False
HBA,high,1,89751,12.0,True
HBA,high,1,221957,14.0,True
HBA,high,1,642720,13.0,True
HBA,high,1,719086,14.0,True
HBA,high,1,613013,14.0,True
HBA,high,1,641289,16.0,True
HBA,high,1,328284,13.0,True
HBA,high,1,170309,12.0,True
HBA,high,1,77509,12.0,True
HBA,high,1,93401,13.0,True
HBA,high,1,86960,14.0,True
HBA,high,1,201979,12.0,True
HBA,high,1,580646,13.0,True
HBA,high,1,208371,14.0,True
HBA,high,1,45060,12.0,True
HBA,high,1,265381,12.0,True
HBA,high,1,241273,12.0,True
HBA,high,1,605194,14.0,True
HBA,high,1,32511,12.0,True
HBA,high,1,34437,13.0,True
HBA,high,1,731936,13.0,True
HBA,high,1,230888,12.0,True
HBA,high,1,96224,12.0,True
HBA,high,1,8139,12.0,True
HBA,high,1,228825,12.0,True
HBA,high,1,89898,12.0,True
HBA,high,1,221523,14.0,True
HBA,high,1,264578,12.0,True
HBA,high,1,76344,12.0,True
HBA,high,1,128330,12.0,True
HBA,high,1,303690,13.0,True
HBA,high,1,219868,13.0,True
HBA,high,1,554080,13.0,True
HBA,high,1,37494,13.0,True
HBA,high,1,87732,15.0,True
HBA,high,1,443980,13.0,True
HBA,high,1,81227,12.0,True
HBA,high,1,18207,12.0,True
HBA,high,1,192171,12.0,True
HBA,high,1,484425,13.0,True
HBA,high,1,229136,12.0,True
HBA,high,1,496401,14.0,True
HBA,high,1,294305,16.0,True
HBA,high,1,349773,14.0,True
HBA,high,1,175425,12.0,True
HBA,high,1,189230,13.0,True
HBA,high,1,536799,13.0,True
HBA,high,1,28039,15.0,True
HBA,high,1,83890,13.0,True
HBA,high,1,373151,13.0,True
HBA,high,1,359665,13.0,True
HBA,high,1,501738,13.0,True
HBA,high,1,418857,13.0,True
HBA,high,1,250689,14.0,True
HBA,high,1,584728,13.0,True
HBA,high,1,21932,12.0,True
HBA,high,1,213409,12.0,True
HBA,high,1,473495,13.0,True
HBA,high,1,156380,16.0,True
HBA,high,1,378936,13.0,True
HBA,high,1,432612,14.0,True
HBA,high,1,314717,16.0,True
HBA,high,1,43406,12.0,True
HBA,high,1,335021,13.0,True
HBA,high,1,211820,13.0,True
HBA,high,1,541255,13.0,True
HBA,high,1,86947,13.0,True
HBA,high,1,179639,13.0,True
HBA,high,1,54529,13.0,True
HBA,high,1,265099,14.0,True
HBA,high,1,90451,12.0,True
HBA,high,1,349145,15.0,True
HBA,high,1,612245,13.0,True
HBA,high,1,687758,13.0,True
HBA,high,1,648923,17.0,True
HBA,high,1,274624,12.0,True
HBA,high,1,385611,13.0,True
HBA,high,1,161997,13.0,True
HBA,high,1,616644,13.0,True
HBA,high,1,330717,13.0,True
HBA,high,1,616666,14.0,True
HBA,high,1,8672,12.0,True
HBA,high,1,135204,12.0,True
HBA,high,1,226022,12.0,True
HBA,high,1,452943,15.0,True
HBA,high,1,106700,12.0,True
HBA,high,1,787816,13.0,True
HBA,high,1,364881,16.0,True
HBA,high,1,374770,13.0,True
HBA,high,1,782091,13.0,True
HBA,high,1,776478,14.0,True
HBA,high,1,180274,12.0,True
HBA,high,1,24155,12.0,True
HBA,high,1,767996,13.0,True
HBA,high,1,787015,13.0,True
HBA,high,1,241679,12.0,True
HBA,high,1,57882,12.0,True
HBA,high,1,10717,12.0,True
HBA,high,1,584239,13.0,True
HBA,high,1,167865,12.0,True
HBA,high,1,261367,12.0,True
HBA,high,1,361475,13.0,True
HBA,high,1,700342,14.0,True
HBA,high,1,429456,13.0,True
HBA,high,1,792194,13.0,True
HBA,high,1,21347,14.0,True
HBA,high,1,246650,12.0,True
HBA,high,1,323961,13.0,True
HBA,high,1,94188,12.0,True
HBA,high,1,702729,13.0,True
HBA,high,1,208391,12.0,True
HBA,high,1,240544,13.0,True
HBA,high,1,274129,12.0,True
HBA,high,1,609105,13.0,True
HBA,high,1,439182,13.0,True
HBA,high,1,528478,13.0,True
HBA,high,1,254328,13.0,True
HBA,high,1,688335,13.0,True
HBA,high,1,94199,14.0,True
HBA,high,1,86245,12.0,True
HBA,high,1,448879,13.0,True
HBA,high,1,483374,13.0,True
HBA,high,1,383940,13.0,True
HBA,high,1,137567,12.0,True
HBA,high,1,121071,13.0,True
HBA,high,1,178049,13.0,True
HBA,high,1,200131,12.0,True
HBA,high,1,507832,13.0,True
HBA,high,1,222263,13.0,True
HBA,high,1,115353,12.0,True
HBA,high,1,80846,12.0,True
HBA,high,1,784332,13.0,True
HBA,high,1,220151,12.0,True
HBA,high,1,658192,13.0,True
HBA,high,1,254717,13.0,True
HBA,high,1,147796,12.0,True
HBA,high,1,128009,15.0,True
HBA,high,1,657506,13.0,True
HBA,high,1,57332,12.0,True
HBA,high,1,167268,13.0,True
HBA,high,1,87713,16.0,False
HBA,high,1,635187,14.0,False
HBA,high,1,752935,13.0,False
HBA,high,1,728124,15.0,False
HBA,high,1,216857,12.0,False
HBA,high,1,63716,13.0,False
HBA,high,1,316169,13.0,False
HBA,high,1,112296,12.0,False
HBA,high,1,619093,14.0,False
HBA,high,1,212282,13.0,False
HBA,high,1,155223,12.0,False
HBA,high,1,1250,12.0,False
HBA,high,1,90265,12.0,False
HBA,high,1,565538,13.0,False
HBA,high,1,97926,12.0,False
HBA,high,1,166526,15.0,False
HBA,high,1,42339,12.0,False
HBA,high,1,647843,14.0,False
HBA,high,1,173685,12.0,False
HBA,high,1,156419,13.0,False
HBA,high,1,111185,13.0,False
HBA,high,1,119676,12.0,False
HBA,high,1,187538,14.0,False
HBA,high,1,159443,12.0,False
HBA,high,1,611181,15.0,False
HBA,high,1,148174,13.0,False
HBA,high,1,589326,13.0,False
HBA,high,1,26689,12.0,False
HBA,high,1,403223,14.0,False
HBA,high,1,698448,15.0,False
HBA,high,1,667142,14.0,False
HBA,high,1,219971,12.0,False
HBA,high,1,547744,14.0,False
HBA,high,1,366425,14.0,False
HBA,high,1,116121,13.0,False
HBA,high,1,549487,14.0,False
HBA,high,1,316632,13.0,False
HBA,high,1,14173,13.0,False
HBA,high,1,454650,16.0,False
HBA,high,1,538600,13.0,False
HBA,high,1,189766,12.0,False
HBA,high,1,36024,12.0,False
HBA,high,1,218782,12.0,False
HBA,high,1,623121,14.0,False
HBA,high,1,601383,13.0,False
HBA,high,1,139224,14.0,False
HBA,high,1,25987,14.0,False
HBA,high,1,121749,12.0,False
HBA,high,1,174788,13.0,False
HBA,high,1,770681,14.0,False
HBA,high,1,612563,13.0,False
HBA,high,1,39944,12.0,False
HBA,high,1,215360,12.0,False
HBA,high,1,551308,15.0,False
HBA,high,1,41237,12.0,False
HBA,high,1,254647,12.0,False
HBA,high,1,597680,14.0,False
HBA,high,1,499696,13.0,False
HBA,high,1,251772,12.0,False
HBA,high,1,26627,12.0,False
HBA,low,0,4938,0.0,True
HBA,low,0,469,0.0,True
HBA,low,0,10473,0.0,True
HBA,low,0,40389,0.0,True
HBA,low,0,5479,0.0,True
HBA,low,0,24160,0.0,True
HBA,low,0,21734,0.0,True
HBA,low,0,13302,0.0,True
HBA,low,0,28634,0.0,True
HBA,low,0,16517,0.0,True
HBA,low,0,39040,0.0,True
HBA,low,0,25893,0.0,True
HBA,low,0,11436,0.0,True
HBA,low,0,29843,0.0,True
HBA,low,0,3458,0.0,True
HBA,low,0,9970,0.0,True
HBA,low,0,25490,0.0,True
HBA,low,0,9532,0.0,True
HBA,low,0,32284,0.0,True
HBA,low,0,28713,0.0,True
HBA,low,0,24678,0.0,True
HBA,low,0,39748,0.0,True
HBA,low,0,430,0.0,True
HBA,low,0,18570,0.0,True
HBA,low,0,10499,0.0,True
HBA,low,0,40474,0.0,True
HBA,low,0,32092,0.0,True
HBA,low,0,21629,0.0,True
HBA,low,0,33102,0.0,True
HBA,low,0,11005,0.0,True
HBA,low,0,41470,0.0,True
HBA,low,0,11165,0.0,True
HBA,low,0,34155,0.0,True
HBA,low,0,25222,0.0,True
HBA,low,0,25153,0.0,True
HBA,low,0,34337,0.0,True
HBA,low,0,32156,0.0,True
HBA,low,0,1180,0.0,True
HBA,low,0,34632,0.0,True
HBA,low,0,29658,0.0,True
HBA,low,0,777,0.0,True
HBA,low,0,240,0.0,True
HBA,low,0,481,0.0,True
HBA,low,0,11042,0.0,True
HBA,low,0,13359,0.0,True
HBA,low,0,27528,0.0,True
HBA,low,0,28930,0.0,True
HBA,low,0,24893,0.0,True
HBA,low,0,28674,0.0,True
HBA,low,0,21325,0.0,True
HBA,low,0,28207,0.0,True
HBA,low,0,16328,0.0,True
HBA,low,0,12650,0.0,True
HBA,low,0,28023,0.0,True
HBA,low,0,7978,0.0,True
HBA,low,0,41264,0.0,True
HBA,low,0,11393,0.0,True
HBA,low,0,30687,0.0,True
HBA,low,0,33690,0.0,True
HBA,low,0,35356,0.0,True
HBA,low,0,16875,0.0,True
HBA,low,0,34517,0.0,True
HBA,low,0,38416,0.0,True
HBA,low,0,16547,0.0,True
HBA,low,0,23483,0.0,True
HBA,low,0,14999,0.0,True
HBA,low,0,34689,0.0,True
HBA,low,0,38050,0.0,True
HBA,low,0,37639,0.0,True
HBA,low,0,33132,0.0,True
HBA,low,0,2547,0.0,True
HBA,low,0,12055,0.0,True
HBA,low,0,4396,0.0,True
HBA,low,0,28318,0.0,True
HBA,low,0,1617,0.0,True
HBA,low,0,2412,0.0,True
HBA,low,0,14716,0.0,True
HBA,low,0,35183,0.0,True
HBA,low,0,20365,0.0,True
HBA,low,0,11231,0.0,True
HBA,low,0,23884,0.0,True
HBA,low,0,16273,0.0,True
HBA,low,0,19282,0.0,True
HBA,low,0,3331,0.0,True
HBA,low,0,6439,0.0,True
HBA,low,0,21050,0.0,True
HBA,low,0,20269,0.0,True
HBA,low,0,19923,0.0,True
HBA,low,0,30670,0.0,True
HBA,low,0,44139,0.0,True
HBA,low,0,14845,0.0,True
HBA,low,0,15354,0.0,True
HBA,low,0,34378,0.0,True
HBA,low,0,443,0.0,True
HBA,low,0,11036,0.0,True
HBA,low,0,2474,0.0,True
HBA,low,0,13441,0.0,True
HBA,low,0,30751,0.0,True
HBA,low,0,24607,0.0,True
HBA,low,0,23641,0.0,True
HBA,low,0,25870,0.0,True
HBA,low,0,41085,0.0,True
HBA,low,0,21572,0.0,True
HBA,low,0,18831,0.0,True
HBA,low,0,6398,0.0,True
HBA,low,0,10108,0.0,True
HBA,low,0,30911,0.0,True
HBA,low,0,15102,0.0,True
HBA,low,0,22701,0.0,True
HBA,low,0,3140,0.0,True
HBA,low,0,16745,0.0,True
HBA,low,0,3479,0.0,True
HBA,low,0,5133,0.0,True
HBA,low,0,39491,0.0,True
HBA,low,0,1314,0.0,True
HBA,low,0,6635,0.0,True
HBA,low,0,40696,0.0,True
HBA,low,0,1223,0.0,True
HBA,low,0,43150,0.0,True
HBA,low,0,15390,0.0,True
HBA,low,0,9398,0.0,True
HBA,low,0,16642,0.0,True
HBA,low,0,20940,0.0,True
HBA,low,0,42325,0.0,True
HBA,low,0,30589,0.0,True
HBA,low,0,2463,0.0,True
HBA,low,0,8740,0.0,True
