prior_pool_row,prior_candidate_id,decoded_selfies,decoded_smiles,canonical_smiles,is_rdkit_valid,selected_for_property_oracle,FractionCSP3,HBA,TPSA,cLogP,BertzCT,HeavyAtomCount,selfies_len_tokens,branch_token_count,ring_token_count,token_entropy
13,13,[O][=C][C][Branch1][C][C][C@@H1][C][C][Branch1][=C][C][=Branch1][C][=O][C][N][C][Branch1][C][Cl][=C][N][Branch2][Ring1][C][O][C][=C][C][C][Ring1][#Branch1][Branch1][Ring2][C][C][O][=N][C][Ring1][#Branch2][=C][Ring2][Ring1][Ring1][C][=C][Ring1][Branch2],O=CC(C)[C@@H1]CC(C(=O)CNC(Cl)=C1NOC=CCC1(C2CO)NC=C)C=C2,C=CNC12CC=CONC1=C(Cl)NCC(=O)C(C[CH]C(C)C=O)C=CC2CO,True,True,0.45,7.0,99.69000000000001,1.6873900000000002,640.9494616147808,28.0,50.0,9.0,8.0,2.1814689520939217
14,14,[C][N][C][=Branch1][C][=O][C][=C][C][Branch1][P][C][N][Branch2][Ring1][Ring2][C][Branch1][C][C][N][C][=C][C][=N][Ring1][Branch1][N][C][C][=C][C][Ring1][=Branch1][=O][S][C][Ring2][Ring1][Branch1][=O][C][=C][O][C][Ring1][Ring1],C1NC(=O)C=CC(CNC(C)N2C=CC=N2)SC1=O,CC(NCC1C=CC(=O)NCC(=O)S1)n1cccn1,True,True,0.4166666666666667,6.0,76.02000000000001,0.3055999999999994,444.39267748394,19.0,47.0,7.0,8.0,2.113570121156722
15,15,[C][C][Branch2][Ring1][=Branch1][C][O][C][=C][C][Branch1][C][O][C][=N][C][NH1][C][=C][C][=Branch1][C][=O][O][C][Ring1][P][=Branch1][C][=O][N][C][=C][C][Branch1][C][Cl][=C][Ring1][#Branch2],CC(COC=CC(O)C=NC[NH1]C=CC(=O)OC)(O)NC=CC(Cl)=C,C=C(Cl)C=CNC(C)(O)COC=CC(O)C=NCNC=CC(=O)OC,True,True,0.375,8.0,112.41000000000001,0.7464999999999997,494.13135205769794,25.0,40.0,7.0,3.0,2.1247120460997158
16,16,[C][#C][N][C][Branch1][C][C][Branch1][C][O][C][C@@H1][Branch1][=C][C][C][=C][C][=C][O][C][Ring1][=Branch1][=O][C][=C][Branch1][C][F][Cl][C][=C][C][=C][Branch1][C][O][C][=C][C][Ring1][#Branch1][=Ring1][S][Ring2][Ring1][Ring1][N],C#CNC(C)(O)C[C@@H1](CC1=CC=COC1=O)CF,C#CNC(C)(O)C[C@H](CF)Cc1cccoc1=O,True,True,0.46153846153846156,4.0,62.47,1.0469000000000002,453.41692140823983,18.0,48.0,7.0,6.0,2.203274008280451
17,17,[C][C][C][=C][Branch2][Ring2][C][=N][C][Branch1][C][N][=C][Branch1][C][Br][N][=C][Ring1][#Branch1][NH1][C][Branch1][C][C][C][N][=C][Branch1][C][N][C][=C][C][=C][C][=C][Ring1][#Branch2][C][=N][Ring1][Branch2][C][Branch1][Ring2][C][=Branch1][C][=O][N],CCC=C(N1C(N)=C(Br)N=C1[NH1]C(C)C2N=C(N)C3=CC=CC=C2C)N3C(C=O)N,CCC=C1N(C(N)C=O)C2=CC=CC=C(C)C(N=C2N)C(C)Nc2nc(Br)c(N)n21,True,True,0.35,9.0,140.58,2.1617,950.4062513883028,30.0,51.0,10.0,5.0,2.1060450303467855
18,18,[C][#C][C][C][=C][C][C][Branch1][C][O][C][=Branch1][Branch1][=C][C][C][=C][C][=C][Ring1][=Branch1][C][=Branch2][Ring1][C][=C][Ring1][=N],C#CCC=C1CC(O)C(=C2CC=C)C=C2C=C1,C#CCC=C1C=CC2=CC(=C2CC=C)C(O)C1,True,True,0.25,1.0,20.23,3.069600000000001,486.62157705337097,17.0,28.0,5.0,3.0,1.7631154048941104
19,19,[O][=C][Branch1][Ring1][C][Br][C][C][=C][C][Branch2][Ring1][=Branch2][C][Branch1][C][C][Branch1][C][F][C][=C][C][Branch1][#Branch1][C][=C][C][=C][Ring1][Ring1][C][=C][C][Branch1][C][Cl][=N][C@H1][Ring1][P][C],O=C(CBr)CC=CC(C(C)(F)C=CC(C=C1C=C1)C=CCCl)=N[C@H1]C,C[CH]N=C(C=CCC(=O)CBr)C(C)(F)C=CC(C=CCCl)C=C1C=C1,True,True,0.35,2.0,29.43,5.7111900000000055,591.9495684877126,25.0,42.0,8.0,5.0,2.0422802017227535
20,20,[C][#C][C][=Branch1][C][=O][C][C][N][C][=Branch1][C][=O][C][O][C][=C][N][Ring1][Branch1][C][C][=C][Branch1][C][C][C@@H1][Ring1][=Branch1][C][=Branch1][C][=O][C@][Ring2][Ring1][Branch1][O][C][=Branch1][C][=N][N],C#CC(=O)CCNC(=O)C1OC=CN1CC=C(C)[C@@H1]C(=O)[C@]OC(=N)N,C#CC(=O)CCNC(=O)C1OC=CN1CC=C(C)[CH]C(=O)[C]OC(=N)N,True,True,0.29411764705882354,7.0,134.81000000000003,-0.5069499999999978,629.4396866104538,26.0,43.0,8.0,4.0,2.08288028784744
21,21,[C][O][Branch1][Ring1][O][C][=C][\O][C][C][C][Branch2][Ring1][=N][C@@][Branch1][=C][C][=C][Branch1][C][F][C][=C][C][Branch1][C][Cl][=C][Ring1][=Branch2][C][=C][Branch1][S][C][=C][C][C][=C][C][Ring2][Ring1][=Branch1][=O][C][=Branch1][C][=O][C][C][Ring1][=Branch2],C=O,C=O,True,True,0.0,1.0,17.07,-0.1849,0.0,2.0,53.0,10.0,6.0,2.1925668285252993
22,22,[C][C][=Branch1][C][=O][N][C][C][NH1][C][=N][C][=C][C][C][Ring1][=Branch1][C][N][C][=C][Branch1][C][S][C][=C][N][=C][Ring1][=Branch2][=N][C][=C][C][=Ring1][=Branch1][N][Ring2][Ring1][C][C][=C][Ring1][=Branch2][C][Ring2][Ring1][N],CC(=O)NCC[NH1]C1=NC2=CCC1C3NC=C(S)C=CN=C3NC=CCN2C=CC,CC=CN1CC=CNC2=NC=CC(S)=CNC2C2CC=C1N=C2NCCNC(C)=O,True,True,0.38095238095238093,8.0,93.14999999999999,1.5796,818.0996223722955,30.0,48.0,6.0,8.0,2.0727354373411346
23,23,[C][C][C][=C][C][=C][Branch1][=N][C][=Branch1][C][=O][O][C][Branch1][#Branch1][C][=Branch1][C][=O][O][C][Branch1][=C][C][=C][C][C][=C][Branch1][C][F][C][=C][Ring1][#Branch2][F],CCC=CC=C(C(=O)OCC(=O)OC1)CC=CCC=C(F)C=C1F,CCC=CC=C1CC=CCC=C(F)C=C(F)COC(=O)COC1=O,True,True,0.3333333333333333,4.0,52.60000000000001,4.022200000000003,573.1595681836991,24.0,37.0,8.0,1.0,1.9227648120804246
24,24,[C][=C][Branch1][C][C][C][Branch1][C][C][O][C][Branch1][C][C][N][C][Branch1][C][C][=O][C][C@@H1][Branch2][Ring1][Ring1][C][=C][C][=C][Branch1][O][C][=C][C][=Branch1][C][=O][N][C][Branch1][#Branch1][C][=C][C][=C][C][C][Ring1][#C][C][=N][Ring1][Branch2],C=C(C)C(C)OC(C)NC(C)=O,C=C(C)C(C)OC(C)NC(C)=O,True,True,0.6666666666666666,2.0,38.33,1.4497,164.8771237954945,12.0,53.0,10.0,4.0,1.9162398296267174
25,25,[C][C][Branch1][C][O][C][=C][O][C][=Branch1][N][C][=C][C][Branch1][Ring1][O][=O][=C][Ring1][Branch1][O][C][C][=C][C][=C][Ring1][Branch1][C][=C][Branch1][=Branch1][C][C][N][C][C],CC(O)C=COC(C=C1C(OO)=C1O)C2C=CC=C2C=CCCNCC,CCNCCC=CC1=CC=CC1C(C=C1C(O)=C1OO)OC=CC(C)O,True,True,0.4,6.0,91.18,3.1335000000000015,630.9494616147807,26.0,38.0,7.0,3.0,1.7683203063896582
26,26,[O][=C][C][=Branch1][C][=O][C@H1][Branch2][Ring1][Ring2][C][=Branch1][C][=O][C][N][C][C][Branch1][#Branch1][C][=N][C][O][C][Branch1][C][O][=C][C][=C][C][=C][C][Ring1][=N][=C][Ring1][Branch2],O=CC(=O)[C@H1](C(=O)CNCC(C=NCOCO1)=C)C=CC=CC=C1,C=C1C=NCOCOC=CC=CC=C[C@H](C(=O)C=O)C(=O)CNC1,True,True,0.29411764705882354,7.0,94.06,0.7442000000000004,548.5873848810925,24.0,39.0,7.0,4.0,2.1631222175554865
27,27,[C][C][=N][C][Branch1][C][S][Branch1][=Branch1][C][=Branch1][C][=O][O][C][C][Branch1][C][C][O][C][=C][Branch1][C][C][=C][N][=C][C][=C][Branch1][=Branch2][C][=C][Ring1][=Branch1][N][Branch1][C][C][C][=Ring1][Branch2][C][=Branch1][C][=O][C],CC=NC(S)(C(=O)O)CC(C)OC=C(C)CN=C1C=C(C=CNC)C1C(=O)C,CC=NC(S)(CC(C)OC=C(C)CN=C1C=C(C=CNC)C1C(C)=O)C(=O)O,True,True,0.5,7.0,100.35,2.8061000000000007,704.3203424879724,28.0,48.0,12.0,2.0,1.9454348005418503
28,28,[C][C][C][Branch1][C][F][C][=C][C][=C][C][NH1][N][=C][C][=Branch1][Branch2][=C][Ring1][=Branch1][C][N][C][=O][C][C][=C][C][N][C][=O][=C][Ring1][=Branch1][C][=N][C][=Ring2][Ring1][=Branch2][C][=C][Ring2][Ring1][Branch1][Ring1][=Branch2][C][C][O],CCC(F)C=CC=CC1[NH1]N=CC(=C1CNC=O)CC=CCNC=O,CCC(F)C=CC=CC1NN=CC(CC=CCNC=O)=C1CNC=O,True,True,0.3888888888888889,4.0,82.59,1.5394,536.3856189774723,25.0,50.0,8.0,7.0,2.1447538449263783
29,29,[C][O][C][C][=Branch1][C][=O][O][C][Branch1][C][C][C][Branch1][Ring1][C][#N][C][=C][Branch2][Ring1][Ring2][O][C][C][=N][N][Branch1][C][C][C@H1][Branch1][C][C][C][=Branch1][C][=O][O][C][=C][C][Ring1][Ring2][=S][Ring1][#Branch2],COCC(=O)OC(C)C(C#N)C=C(OCC=NN(C1)[C@H1](C)C(=O)OC=C)C=S1,C=COC(=O)[C@@H](C)N1C[SH]=CC(=CC(C#N)C(C)OC(=O)COC)OCC=N1,True,True,0.5,9.0,110.45,1.2065800000000002,646.0160204304711,28.0,47.0,8.0,6.0,2.1034379155611633
30,30,[O][=C][C][C][Branch2][Ring2][=Branch2][C][=C][C][C][=C][C][Branch1][S][C][=N][C][=C][Ring1][#Branch1][C][=C][Ring1][N][C][=C][C][=C][Branch1][C][Cl][C][C][=C][Ring1][N][C][=C][S][Ring1][Branch1][C][Branch1][C][F][C],O=CCCC1=CCC2=CC(C=NC3=C2C=C1C=CC=CCl)CC4=C3C=CS4C(F)C,CC(F)[SH]1C=CC2=C1CC1C=NC2=C2C=C(C=CC=CCl)C(CCC=O)=CCC2=C1,True,True,0.28,2.0,29.43,6.913600000000006,988.6385287573656,30.0,47.0,7.0,5.0,2.027495336830147
31,31,[C][C][=C][N][Branch2][Ring1][Branch2][C][=N][C][C][C][N][C][Branch1][=C][C][C][O][N][C][Branch1][C][N][=C][Ring1][=Branch1][=C][Branch1][C][O][C][Branch1][C][C][=N][N][C][C][=Branch1][C][=O][O][C][=Ring2][Ring1][Ring1],CC=CN(C=NCCCNC=1CC2ONC(N)=C2CO)C(C)=NNCC(=O)OC=1,CC=CN1C=NCCCNC(CC2ONC(N)=C2CO)=COC(=O)CNN=C1C,True,True,0.5,11.0,145.82999999999998,-0.39269999999999583,676.8268714730223,29.0,47.0,8.0,5.0,1.9760671240688763
32,32,[C][C][=C][Branch1][C][C][C][=C][C][=C][Branch2][Ring1][=C][C][=C][C][Branch1][C][F][=N][Ring1][#Branch1][C][O][C][=C][C][=C][Ring1][N][C][Branch1][C][C][O][Ring1][=Branch1][C][C][=C][C][Branch1][Branch2][C][=Branch1][C][=O][O][C][C],CC=C(C)C=CC1=C(C=CC(F)=N1)C(=O)OCC,CC=C(C)C=Cc1nc(F)ccc1C(=O)OCC,True,True,0.2857142857142857,3.0,39.19,3.376800000000002,472.81171955040566,18.0,50.0,9.0,4.0,1.8760780697376487
33,33,[O][C][C][=C][C][=C][Branch1][O][C][C][C@@H1][C][C][=N][Branch1][=Branch1][C][=Branch1][C][=O][C][O][C][C@H1][Ring1][=C][C][Branch1][C][F][=C][Branch1][C][Cl][C][=C][Ring1][Branch2][C][=C][Ring1][#Branch2],OCC=CC1=C(CC[C@@H1]CC=NC=O)COC23[C@H1]1C(F)=C(Cl)C=C2C=C3,O=CN=CC[CH]CCC1=C(C=CCO)[C@@H]2C(F)=C(Cl)C=C3C=CC32OC1,True,True,0.35,3.0,58.89,3.748190000000003,732.0,26.0,42.0,8.0,3.0,2.1035000490259175
34,34,[C][C][=C][C][Branch1][#Branch2][O][C][C][#C][C][O][Ring1][Branch1][C][=C][N][C][=N][C][=C][C][=C][Ring1][Branch1][C][N][Ring1][=Branch1][C@H1][C][=Branch1][C][=O][C][=Ring1][P][C][Branch1][C][Br][=C][C][Branch1][C][C][=C][Ring1][Branch2],CC=CC(OC1C#CCO1)=CNC=NC2=CC=CCN2[C@H1]C(=O)CC(Br)=CC(C)=C,C=C(C)C=C(Br)CC(=O)[CH]N1CC=CC=C1N=CNC=C(C=CC)OC1C#CCO1,True,True,0.2608695652173913,5.0,63.160000000000004,4.087190000000003,851.4497230899923,30.0,49.0,9.0,5.0,2.168429532609802
35,35,[C][C][=Branch1][C][=O][C][Branch1][C][C][=C][N][C][Branch1][C][O][=N][C][Branch1][Ring1][C][N][Branch1][C][C][C][NH1][Ring1][#Branch1],CC(=O)C(C)=CNC(O)=NC(CN)(C)C[NH1],CC(=O)C(C)=CNC(O)=NC(C)(C[NH])CN,True,True,0.6,3.0,111.50999999999999,-0.016899999999998527,285.16017124398627,16.0,28.0,6.0,2.0,1.8442720882566568
36,36,[C][O][C][C][=C][N][Branch2][Ring2][C][C][=C][C][C][=C][Ring1][=Branch1][C@@H1][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1][N][Ring1][P][C][C][=Branch1][C][=O][N][C][=C][C][C][Branch1][C][C][=C][N][Branch1][C][C][NH1][C][Ring2][Ring1][#Branch1],COCC=C1N(C=CCC=C[C@@H1]C2CC3=CC=CC=C3N1CC(=O)NC=CCCC)CN(C)[NH1]C2,CCCC=CNC(=O)CN1C(=CCOC)N2C=CCC=C[CH]C(CNN(C)C2)Cc2ccccc21,True,True,0.42857142857142855,6.0,60.080000000000005,3.956890000000003,892.3683221421962,35.0,53.0,7.0,6.0,1.971977200778304
37,37,[C][O][C][=N][C][=C][O][C@][Branch1][C][C][=N][C][C@H1][Ring1][=Branch1][C][O][C][C][Branch1][Ring1][C][Br][=C][Ring1][=C],COC=NC=C1O[C@](C)=NC[C@H1]COCC(CBr)=C1,COC=NC=C1C=C(CBr)COC[CH]CN=C(C)O1,True,True,0.46153846153846156,5.0,52.41,2.493290000000001,363.4995490565424,19.0,27.0,3.0,3.0,1.9741350048860618
38,38,[C][O][C@@H1][Branch1][=C][C][Branch1][O][C][=Branch1][C][=O][NH1][C][=C][C][=C][C][O][Ring1][Branch1][C][=C][C][Cl][Branch2][Ring1][C][Cl][O][C][=N][Ring1][Branch1],CO[C@@H1](CC(=O)[NH1]C=C1C=CC)O1,CC=CC1=CNC(=O)C[C@H](OC)O1,True,True,0.4444444444444444,3.0,47.56,0.9129,230.42286534333687,13.0,34.0,6.0,3.0,2.123580772811897
39,39,[C][O][C][Branch1][C][C][O][C][=Branch1][C][=O][C][=C][Branch1][C][O][C][C@@H1][Ring1][=Branch1][C][=C][Ring1][=Branch2][O][C][C][Branch1][N][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1][C][Branch1][C][F][=C][C][Branch1][C][F][=C][Ring2][Ring1][C][Ring1][O],COC(C)OC(=O)C=C(O)C1[C@@H1]C=COC2C(C3=C(Cl)C=C2CF)=CC(F)=C13,COC(C)OC(=O)C=C(O)C1[CH]C=COC2C(CF)=CC(Cl)=C3C2=CC(F)=C31,True,True,0.3,5.0,64.99000000000001,4.262890000000003,831.2640909696652,28.0,53.0,10.0,6.0,2.078164989997457
40,40,[C][C][=C][C@@][Branch1][O][C][C][=C][C][Ring1][=Branch1][C][=C][C][N][Ring1][=Branch1][C][C@H1][C][=Branch1][C][=O][O][C][N][=C][Branch1][C][C][C][=C][Branch1][C][N][C][=C][Ring2][Ring1][#Branch1],C1C=C2[C@@]1(CC=CC2C=CCN)C[C@H1]C(=O)OCN=C(C)C=C(N)C=C,C=CC(N)=CC(C)=NCOC(=O)[CH]C[C@]12CC=CC(C=CCN)C1=CC2,True,True,0.38095238095238093,5.0,90.7,2.9784900000000007,662.1518798246971,26.0,41.0,7.0,4.0,2.0140204033788924
41,41,[C][C][=N][O][C][=Branch1][S][=N][C][=Branch1][C][=O][C][=C][Ring1][=C][C][=C][C][=C][Branch1][C][Br][N][=C][Ring1][#Branch1][N][C][=Branch1][C][=O][N][C][=C][Branch1][=Branch2][C@H1][Branch1][C][C][C][=C][N][Ring1][=Branch1][C][Ring2][Ring1][Ring2][=Ring1][P][C][C][=Branch1][C][=O][N],C1C=NOC(=NC(=O)C=C1C2=CC3=CBr)N=C2NC(=O)NC=C([C@H1](C)C=CN)C3,C[C@H](C=CN)C1=CNC(=O)NC2=NC3=NC(=O)C=C(CC=NO3)C2=CC(=CBr)C1,True,True,0.21052631578947367,6.0,130.53,2.5141,928.5227461425104,29.0,58.0,10.0,7.0,2.3264855851909263
42,42,[C][C][=C][C][Branch2][Ring1][Branch2][C][N][C][=C][C][Ring1][Ring2][=C][C][=C][Branch2][Ring1][#Branch1][O][C][Branch1][C][Br][C][=C][Ring1][O][C][Ring1][=Branch1][=C][C][F][C][=N][C][C][Ring2][Ring1][C][=C][C],CC=CC(CN1C2=CC1=CC=COC(Br)C=C2C=CCF)=CC,CC=CC(=CC)CN1C2=CC=COC(Br)C=C(C=CCF)C1=C2,True,True,0.2631578947368421,2.0,12.47,5.309200000000004,614.4237512704517,23.0,44.0,6.0,8.0,1.997712809010186
43,43,[C][=C][NH1][C][=C][C][Branch1][=C][/C][=C][C][Branch1][C][C][O][C][C][C][C@H1][Ring1][=Branch1][C][N][=C][Branch1][Branch2][C][=Branch1][C][=O][C][=C][Branch1][C][N][N][=C][Branch1][Ring2][C][=N][Ring1][=Branch1][C][C][=C][Ring1][#Branch2],C=C[NH1]C=CC(/C=CC(C1)OCCC[C@H1]1)CN=C(C(=O)C2=C3N)N=C(C=N3)CC=C2,C=CNC=CC(C=CC1C[CH]CCCO1)CN=c1nc2cnc(N)c(c1=O)C=CC2,True,True,0.34782608695652173,7.0,102.49,2.08159,930.899608168713,30.0,48.0,10.0,4.0,2.14755810793752
44,44,[C][C][Branch1][C][O][C][Branch1][Ring1][C][N][C][=C][C][=Branch1][#Branch1][=N][C][=C][C][O][C][=C][Ring1][Branch1],CC(O)C(CN)C=CC(=NC=C1COC)C1,COCC1=CN=C(C=CC(CN)C(C)O)C1,True,True,0.5833333333333334,4.0,67.84,0.8732999999999997,289.16017124398627,16.0,24.0,5.0,2.0,1.828465772673408
45,45,[C][C][=C][C][C][C][Branch1][P][C][N][C][=Branch1][C][=O][C][Branch1][=Branch1][C][N][=N+1][Ring1][#Branch1][C][=C][C][=N][Ring1][Branch1][S][C][=C][C][C][N][Branch1][C][C][=N][C][C][Ring1][#Branch1][Branch1][C][F][F],CC=CCCC(CN1C(=O)C(CN=[N+1]12)C=C)C=N2,C=CC1CN=[N+]2N=CC(CCC=CC)CN2C1=O,True,True,0.5384615384615384,3.0,48.04,1.9824,405.75424759098905,18.0,46.0,9.0,3.0,2.015716981799033
46,46,[C][C][=C][C][=Branch1][C][=O][C][C][Branch1][C][I][=C][C][=Branch1][Ring1][=C][=O][C][=Ring1][Branch2],CC=CC(=O)C=1C(I)=CC(=C=O)C=1,CC=CC(=O)C1=CC(=C=O)C=C1I,True,True,0.1,2.0,34.14,2.1485000000000003,366.84249102171253,13.0,21.0,4.0,2.0,1.813882114662943
