prior_candidate_id,decoded_selfies,decoded_smiles,canonical_smiles,is_rdkit_valid,selected_for_property_oracle
23,[C][C][C][=C][C][=C][Branch1][=N][C][=Branch1][C][=O][O][C][Branch1][#Branch1][C][=Branch1][C][=O][O][C][Branch1][=C][C][=C][C][C][=C][Branch1][C][F][C][=C][Ring1][#Branch2][F],CCC=CC=C(C(=O)OCC(=O)OC1)CC=CCC=C(F)C=C1F,CCC=CC=C1CC=CCC=C(F)C=C(F)COC(=O)COC1=O,True,True
24,[C][=C][Branch1][C][C][C][Branch1][C][C][O][C][Branch1][C][C][N][C][Branch1][C][C][=O][C][C@@H1][Branch2][Ring1][Ring1][C][=C][C][=C][Branch1][O][C][=C][C][=Branch1][C][=O][N][C][Branch1][#Branch1][C][=C][C][=C][C][C][Ring1][#C][C][=N][Ring1][Branch2],C=C(C)C(C)OC(C)NC(C)=O,C=C(C)C(C)OC(C)NC(C)=O,True,True
25,[C][C][Branch1][C][O][C][=C][O][C][=Branch1][N][C][=C][C][Branch1][Ring1][O][=O][=C][Ring1][Branch1][O][C][C][=C][C][=C][Ring1][Branch1][C][=C][Branch1][=Branch1][C][C][N][C][C],CC(O)C=COC(C=C1C(OO)=C1O)C2C=CC=C2C=CCCNCC,CCNCCC=CC1=CC=CC1C(C=C1C(O)=C1OO)OC=CC(C)O,True,True
26,[O][=C][C][=Branch1][C][=O][C@H1][Branch2][Ring1][Ring2][C][=Branch1][C][=O][C][N][C][C][Branch1][#Branch1][C][=N][C][O][C][Branch1][C][O][=C][C][=C][C][=C][C][Ring1][=N][=C][Ring1][Branch2],O=CC(=O)[C@H1](C(=O)CNCC(C=NCOCO1)=C)C=CC=CC=C1,C=C1C=NCOCOC=CC=CC=C[C@H](C(=O)C=O)C(=O)CNC1,True,True
27,[C][C][=N][C][Branch1][C][S][Branch1][=Branch1][C][=Branch1][C][=O][O][C][C][Branch1][C][C][O][C][=C][Branch1][C][C][=C][N][=C][C][=C][Branch1][=Branch2][C][=C][Ring1][=Branch1][N][Branch1][C][C][C][=Ring1][Branch2][C][=Branch1][C][=O][C],CC=NC(S)(C(=O)O)CC(C)OC=C(C)CN=C1C=C(C=CNC)C1C(=O)C,CC=NC(S)(CC(C)OC=C(C)CN=C1C=C(C=CNC)C1C(C)=O)C(=O)O,True,True
28,[C][C][C][Branch1][C][F][C][=C][C][=C][C][NH1][N][=C][C][=Branch1][Branch2][=C][Ring1][=Branch1][C][N][C][=O][C][C][=C][C][N][C][=O][=C][Ring1][=Branch1][C][=N][C][=Ring2][Ring1][=Branch2][C][=C][Ring2][Ring1][Branch1][Ring1][=Branch2][C][C][O],CCC(F)C=CC=CC1[NH1]N=CC(=C1CNC=O)CC=CCNC=O,CCC(F)C=CC=CC1NN=CC(CC=CCNC=O)=C1CNC=O,True,True
29,[C][O][C][C][=Branch1][C][=O][O][C][Branch1][C][C][C][Branch1][Ring1][C][#N][C][=C][Branch2][Ring1][Ring2][O][C][C][=N][N][Branch1][C][C][C@H1][Branch1][C][C][C][=Branch1][C][=O][O][C][=C][C][Ring1][Ring2][=S][Ring1][#Branch2],COCC(=O)OC(C)C(C#N)C=C(OCC=NN(C1)[C@H1](C)C(=O)OC=C)C=S1,C=COC(=O)[C@@H](C)N1C[SH]=CC(=CC(C#N)C(C)OC(=O)COC)OCC=N1,True,True
30,[O][=C][C][C][Branch2][Ring2][=Branch2][C][=C][C][C][=C][C][Branch1][S][C][=N][C][=C][Ring1][#Branch1][C][=C][Ring1][N][C][=C][C][=C][Branch1][C][Cl][C][C][=C][Ring1][N][C][=C][S][Ring1][Branch1][C][Branch1][C][F][C],O=CCCC1=CCC2=CC(C=NC3=C2C=C1C=CC=CCl)CC4=C3C=CS4C(F)C,CC(F)[SH]1C=CC2=C1CC1C=NC2=C2C=C(C=CC=CCl)C(CCC=O)=CCC2=C1,True,True
31,[C][C][=C][N][Branch2][Ring1][Branch2][C][=N][C][C][C][N][C][Branch1][=C][C][C][O][N][C][Branch1][C][N][=C][Ring1][=Branch1][=C][Branch1][C][O][C][Branch1][C][C][=N][N][C][C][=Branch1][C][=O][O][C][=Ring2][Ring1][Ring1],CC=CN(C=NCCCNC=1CC2ONC(N)=C2CO)C(C)=NNCC(=O)OC=1,CC=CN1C=NCCCNC(CC2ONC(N)=C2CO)=COC(=O)CNN=C1C,True,True
32,[C][C][=C][Branch1][C][C][C][=C][C][=C][Branch2][Ring1][=C][C][=C][C][Branch1][C][F][=N][Ring1][#Branch1][C][O][C][=C][C][=C][Ring1][N][C][Branch1][C][C][O][Ring1][=Branch1][C][C][=C][C][Branch1][Branch2][C][=Branch1][C][=O][O][C][C],CC=C(C)C=CC1=C(C=CC(F)=N1)C(=O)OCC,CC=C(C)C=Cc1nc(F)ccc1C(=O)OCC,True,True
33,[O][C][C][=C][C][=C][Branch1][O][C][C][C@@H1][C][C][=N][Branch1][=Branch1][C][=Branch1][C][=O][C][O][C][C@H1][Ring1][=C][C][Branch1][C][F][=C][Branch1][C][Cl][C][=C][Ring1][Branch2][C][=C][Ring1][#Branch2],OCC=CC1=C(CC[C@@H1]CC=NC=O)COC23[C@H1]1C(F)=C(Cl)C=C2C=C3,O=CN=CC[CH]CCC1=C(C=CCO)[C@@H]2C(F)=C(Cl)C=C3C=CC32OC1,True,True
34,[C][C][=C][C][Branch1][#Branch2][O][C][C][#C][C][O][Ring1][Branch1][C][=C][N][C][=N][C][=C][C][=C][Ring1][Branch1][C][N][Ring1][=Branch1][C@H1][C][=Branch1][C][=O][C][=Ring1][P][C][Branch1][C][Br][=C][C][Branch1][C][C][=C][Ring1][Branch2],CC=CC(OC1C#CCO1)=CNC=NC2=CC=CCN2[C@H1]C(=O)CC(Br)=CC(C)=C,C=C(C)C=C(Br)CC(=O)[CH]N1CC=CC=C1N=CNC=C(C=CC)OC1C#CCO1,True,True
35,[C][C][=Branch1][C][=O][C][Branch1][C][C][=C][N][C][Branch1][C][O][=N][C][Branch1][Ring1][C][N][Branch1][C][C][C][NH1][Ring1][#Branch1],CC(=O)C(C)=CNC(O)=NC(CN)(C)C[NH1],CC(=O)C(C)=CNC(O)=NC(C)(C[NH])CN,True,True
36,[C][O][C][C][=C][N][Branch2][Ring2][C][C][=C][C][C][=C][Ring1][=Branch1][C@@H1][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1][N][Ring1][P][C][C][=Branch1][C][=O][N][C][=C][C][C][Branch1][C][C][=C][N][Branch1][C][C][NH1][C][Ring2][Ring1][#Branch1],COCC=C1N(C=CCC=C[C@@H1]C2CC3=CC=CC=C3N1CC(=O)NC=CCCC)CN(C)[NH1]C2,CCCC=CNC(=O)CN1C(=CCOC)N2C=CCC=C[CH]C(CNN(C)C2)Cc2ccccc21,True,True
37,[C][O][C][=N][C][=C][O][C@][Branch1][C][C][=N][C][C@H1][Ring1][=Branch1][C][O][C][C][Branch1][Ring1][C][Br][=C][Ring1][=C],COC=NC=C1O[C@](C)=NC[C@H1]COCC(CBr)=C1,COC=NC=C1C=C(CBr)COC[CH]CN=C(C)O1,True,True
38,[C][O][C@@H1][Branch1][=C][C][Branch1][O][C][=Branch1][C][=O][NH1][C][=C][C][=C][C][O][Ring1][Branch1][C][=C][C][Cl][Branch2][Ring1][C][Cl][O][C][=N][Ring1][Branch1],CO[C@@H1](CC(=O)[NH1]C=C1C=CC)O1,CC=CC1=CNC(=O)C[C@H](OC)O1,True,True
39,[C][O][C][Branch1][C][C][O][C][=Branch1][C][=O][C][=C][Branch1][C][O][C][C@@H1][Ring1][=Branch1][C][=C][Ring1][=Branch2][O][C][C][Branch1][N][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1][C][Branch1][C][F][=C][C][Branch1][C][F][=C][Ring2][Ring1][C][Ring1][O],COC(C)OC(=O)C=C(O)C1[C@@H1]C=COC2C(C3=C(Cl)C=C2CF)=CC(F)=C13,COC(C)OC(=O)C=C(O)C1[CH]C=COC2C(CF)=CC(Cl)=C3C2=CC(F)=C31,True,True
40,[C][C][=C][C@@][Branch1][O][C][C][=C][C][Ring1][=Branch1][C][=C][C][N][Ring1][=Branch1][C][C@H1][C][=Branch1][C][=O][O][C][N][=C][Branch1][C][C][C][=C][Branch1][C][N][C][=C][Ring2][Ring1][#Branch1],C1C=C2[C@@]1(CC=CC2C=CCN)C[C@H1]C(=O)OCN=C(C)C=C(N)C=C,C=CC(N)=CC(C)=NCOC(=O)[CH]C[C@]12CC=CC(C=CCN)C1=CC2,True,True
41,[C][C][=N][O][C][=Branch1][S][=N][C][=Branch1][C][=O][C][=C][Ring1][=C][C][=C][C][=C][Branch1][C][Br][N][=C][Ring1][#Branch1][N][C][=Branch1][C][=O][N][C][=C][Branch1][=Branch2][C@H1][Branch1][C][C][C][=C][N][Ring1][=Branch1][C][Ring2][Ring1][Ring2][=Ring1][P][C][C][=Branch1][C][=O][N],C1C=NOC(=NC(=O)C=C1C2=CC3=CBr)N=C2NC(=O)NC=C([C@H1](C)C=CN)C3,C[C@H](C=CN)C1=CNC(=O)NC2=NC3=NC(=O)C=C(CC=NO3)C2=CC(=CBr)C1,True,True
42,[C][C][=C][C][Branch2][Ring1][Branch2][C][N][C][=C][C][Ring1][Ring2][=C][C][=C][Branch2][Ring1][#Branch1][O][C][Branch1][C][Br][C][=C][Ring1][O][C][Ring1][=Branch1][=C][C][F][C][=N][C][C][Ring2][Ring1][C][=C][C],CC=CC(CN1C2=CC1=CC=COC(Br)C=C2C=CCF)=CC,CC=CC(=CC)CN1C2=CC=COC(Br)C=C(C=CCF)C1=C2,True,True
43,[C][=C][NH1][C][=C][C][Branch1][=C][/C][=C][C][Branch1][C][C][O][C][C][C][C@H1][Ring1][=Branch1][C][N][=C][Branch1][Branch2][C][=Branch1][C][=O][C][=C][Branch1][C][N][N][=C][Branch1][Ring2][C][=N][Ring1][=Branch1][C][C][=C][Ring1][#Branch2],C=C[NH1]C=CC(/C=CC(C1)OCCC[C@H1]1)CN=C(C(=O)C2=C3N)N=C(C=N3)CC=C2,C=CNC=CC(C=CC1C[CH]CCCO1)CN=c1nc2cnc(N)c(c1=O)C=CC2,True,True
44,[C][C][Branch1][C][O][C][Branch1][Ring1][C][N][C][=C][C][=Branch1][#Branch1][=N][C][=C][C][O][C][=C][Ring1][Branch1],CC(O)C(CN)C=CC(=NC=C1COC)C1,COCC1=CN=C(C=CC(CN)C(C)O)C1,True,True
45,[C][C][=C][C][C][C][Branch1][P][C][N][C][=Branch1][C][=O][C][Branch1][=Branch1][C][N][=N+1][Ring1][#Branch1][C][=C][C][=N][Ring1][Branch1][S][C][=C][C][C][N][Branch1][C][C][=N][C][C][Ring1][#Branch1][Branch1][C][F][F],CC=CCCC(CN1C(=O)C(CN=[N+1]12)C=C)C=N2,C=CC1CN=[N+]2N=CC(CCC=CC)CN2C1=O,True,True
46,[C][C][=C][C][=Branch1][C][=O][C][C][Branch1][C][I][=C][C][=Branch1][Ring1][=C][=O][C][=Ring1][Branch2],CC=CC(=O)C=1C(I)=CC(=C=O)C=1,CC=CC(=O)C1=CC(=C=O)C=C1I,True,True
47,[C][C][O][C][=Branch1][C][=O][C@@H1][C][C][O][C][=C][Branch2][Ring1][C][=C][Branch1][C][Cl][C][Branch2][Ring2][Ring1][O][C][=C][C][=C][Ring1][=Branch1][C][=C][Branch1][N][C][C][Branch1][C][C][=C][Ring1][#Branch1][C][=N][Ring1][O][C][=C][Ring2][Ring1][#Branch2][Ring2][Ring1][O],CCOC(=O)[C@@H1]CCOC=CC(Cl)C1OC=C2C=C1C=C(CC(C)=CC=N2)C=C,C=CC1=CC2=CC(=COC2C(Cl)C=COCC[CH]C(=O)OCC)N=CC=C(C)C1,True,True
48,[C-1][#N+1][C][C][Branch1][C][I][C][N][C][=C][C][=C][C][Branch2][Ring1][#Branch2][C][Branch1][Ring2][C][Ring1][O][C][N][C][Branch1][C][O][C][=C][C][Ring1][#Branch1][C][Ring1][=C][Ring2][Ring1][#Branch1],[C-1]#[N+1]CC1(I)CNC=C2C=CCC(C1)C3NC(O)C=CC3C2,[C-]#[N+]CC1(I)CNC=C2C=CCC(C1)C1NC(O)C=CC1C2,True,True
49,[C][O][C@@H1][Branch1][C][C][C@H1][C][C][=Branch1][C][=O][N][C][C][C@H1][Branch1][C][N][C][=Branch1][C][=O][C][=C][S][C@H1][Ring1][Branch2][Ring1][=Branch1][=C][C][=Branch1][C][=O][C][C][=C][Ring1][O][C][C][=Branch1][C][=O][C][=C][Branch1][C][C][C],CO[C@@H1](C)[C@H1]CC(=O)NCC[C@H1](N)C(=O)C=CS[C@H1],[CH]SC=CC(=O)[C@@H](N)CCNC(=O)C[CH][C@H](C)OC,True,True
50,[C][N][C][=Branch1][C][=O][N][Branch1][C][C][C@H1][C][Branch1][O][C][=Branch1][C][=O][C][Branch1][C][C][=C][Branch1][Branch2][C][C@H1][Ring1][#Branch1][C][=C][O][C][=C][Branch1][#Branch1][C][C][=Branch1][C][=O][O][C][Branch1][Ring1][C][=O][C][=C][Ring2][Ring1][C][C],CNC(=O)N(C)[C@H1]C(C(=O)C(C1)=CC[C@H1]C=CO)C=C(CC(=O)O)C(C=O)C=C1C,CNC(=O)N(C)[CH]C1C=C(CC(=O)O)C(C=O)C=C(C)CC(=CC[CH]C=CO)C1=O,True,True
51,[C][C][=C][C][Branch1][Branch2][C][=C][C][=C][Branch1][C][Br][C][Branch1][=N][O][C][Ring1][Branch2][C][C][=Branch1][C][=O][O][=C][C][=C][Branch1][Ring2][N][=C][C][=C][C][=Branch1][C][=O][C][=C][Ring1][N][=Ring1][Branch1][C][Ring2][Ring1][=N],CC=CC(C1=CC=CBr)C(OC1CC(=O)OCC)=C(N=CC)C2C(=O)C=C2,CC=CC1C(=CC=CBr)C(CC(=O)OCC)OC1=C(N=CC)C1C=CC1=O,True,True
52,[C][N][C][=Branch1][C][=O][C@H1][C][=Branch1][C][=O][N][O][C][Branch1][C][C][=C][C][=C][C][Branch1][=N][O][C][=C][C][=N][C][=C][C][=C][Ring1][=Branch1][C@H1][Branch1][P][C][C][=C][C][Branch1][C][O][=C][Ring1][#Branch1][C][Ring2][Ring1][Ring1][C][#N],CNC(=O)[C@H1]C(=O)NOC(C)=CC=C1C(OC=CC2=NC=CC=C2[C@H1]3)CC=CC(O)=C3C1C#N,CNC(=O)[CH]C(=O)NOC(C)=CC=C1C2CC=CC(O)=C([CH]c3cccnc3C=CO2)C1C#N,True,True
53,[C][C][C][Branch2][Ring1][=Branch1][C][N][C][Branch2][Ring1][C][=C][C][=C][C][=C][S][C][=Branch1][C][=O][N][C][C][=Branch1][C][=O][O][=C][C][=C][Ring1][Branch1][C][#N][C][=C][C][=C][Branch1][Ring1][C][#N][C][=C][Ring2][Ring1][Branch2][Ring2][Ring1][=Branch2],CCC(CNCCC=CC=CSC(=O)NCC(=O)O)=CC=CC#N,CCC(=CC=CC#N)CNCCC=CC=CSC(=O)NCC(=O)O,True,True
54,[C][C][Branch1][C][C][Branch2][Ring2][C][N][C][C][N][C][=C][Branch2][Ring1][=Branch1][C][Branch1][C][Cl][Branch1][C][F][C][C][=C][Branch1][O][C][Branch1][C][C][=O][C][=C][C][=C][Ring1][#Branch1][C][N][Ring1][#C][Ring2][Ring1][Branch1][C][N],C1C(C)(NCC2NC=C(C(Cl)(F)CC=CC(C)=O)C)N21,CC(=O)C=CCC(F)(Cl)C(C)=CNC1CNC2(C)CN12,True,True
55,[C][C][=C][Branch1][C][Cl][C][O][C][=C][C][=Branch1][#C][=C][Ring1][=Branch1][C][=N][C][=C][Ring1][=Branch1][C][O][C][Ring1][Branch1][C][=C][Ring2][Ring1][Ring2],C1C=C(Cl)C2OC=CC(=C2C=NC3=CCOC3)C=C1,ClC1=CCC=CC2=C(C=NC3=CCOC3)C1OC=C2,True,True
56,[C][O][C][=C][C][=C][Ring2][=Branch1][Ring1][=Branch1][C][=C][O][C][Branch1][=Branch2][C][C@][C][C][O][C@H1][Branch1][C][O][C@@H1][Ring1][=C][C][N][C][=C][Ring1][=N],C1OC=CC2=C1C=COC3(C[C@]CCO[C@H1]O)[C@@H1]2CNC=C3,O[CH]OCC[C]CC12C=CNC[C@@H]1C1=C(C=CO2)COC=C1,True,True
57,[O][=C][O][=C][Ring1][Branch2][C][N][C][=Branch1][C][=O][C][=C][C][=Branch1][Ring1][=C][=O][C][O][C][=Branch1][C][=O][C][Ring1][Ring1],O=COCCNC(=O)C=CC(=C=O)COC(=O)C,CC(=O)OCC(=C=O)C=CC(=O)NCCOC=O,True,True
58,[N][C@H1][Branch1][=Branch1][N][=C][S][C][=O][C][=C][C][Branch2][Ring1][=Branch2][N][Branch2][Ring1][=Branch1][C][=N][C][Branch1][C][F][=C][C][N][Ring1][=Branch2][C][=C][Branch1][C][F][C][N][Ring1][#Branch1][C][=C][Ring1][=C][Cl][=C][Ring2][Ring1][Ring2][F][Ring2][Ring1][Branch2][C][=N][Ring2][Ring1][=N][C],N[C@H1](N=CSC=O)C=CC(NC1=NC(F)=CC2NC=C(F)CN2C)=C1Cl,CN1CC(F)=CNC1C=C(F)N=C1NC(C=C[C@H](N)N=CSC=O)=C1Cl,True,True
